plotcode,block,plot,subsample,year,month,time,X,Y,x,y,sowndiv,numfg,numgrass,numsherb,numtherb,numleg,gr.ef,sh.ef,th.ef,leg.ef,pAlo.pra,pAnt.odo,pArr.ela,pAve.pub,pBro.ere,pBro.hor,pCyn.cri,pDac.glo,pFes.pra,pFes.rub,pHol.lan,pLuz.cam,pPhl.pra,pPoa.pra,pPoa.tri,pTri.fla,pAju.rep,pBel.per,pGle.hed,pLeo.aut,pLeo.his,pPla.lan,pPla.med,pPri.ver,pPru.vul,pRan.rep,pTar.off,pVer.cha,pAch.mil,pAnt.syl,pCam.pat,pCar.pra,pCar.car,pCen.jac,pCir.ole,pCre.bie,pDau.car,pGal.mol,pGer.pra,pHer.sph,pKna.arv,pLeu.vul,pPas.sat,pPim.maj,pRan.acr,pRum.ace,pSan.off,pTra.pra,pLat.pra,pLot.cor,pMed.lup,pMed.var,pOno.vic,pTri.cam,pTri.dub,pTri.fra,pTri.hyb,pTri.pra,pTri.rep,pVic.cra,unidentified.rest,DOM,target.biomass,Alo.pra,Ant.odo,Arr.ela,Ave.pub,Bro.ere,Bro.hor,Cyn.cri,Dac.glo,Fes.pra,Fes.rub,Hol.lan,Luz.cam,Phl.pra,Poa.pra,Poa.tri,Tri.fla,Aju.rep,Bel.per,Gle.hed,Leo.aut,Leo.his,Pla.lan,Pla.med,Pri.ver,Pru.vul,Ran.rep,Tar.off,Ver.cha,Ach.mil,Ant.syl,Cam.pat,Car.pra,Car.car,Cen.jac,Cir.ole,Cre.bie,Dau.car,Gal.mol,Ger.pra,Her.sph,Kna.arv,Leu.vul,Pas.sat,Pim.maj,Ran.acr,Rum.ace,San.off,Tra.pra,Lat.pra,Lot.cor,Med.lup,Med.var,Ono.vic,Tri.cam,Tri.dub,Tri.fra,Tri.hyb,Tri.pra,Tri.rep,Vic.cra
B0A01,B0,A01,1,2002,Sept,5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B0A02,B0,A02,1,2002,Sept,5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1A01,B1,A01,1,2002,Sept,5,1360,1057,NA,NA,16,4,4,4,4,4,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,-9999,-9999,205.7,NA,0.6,NA,0,NA,15.6,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,0,NA,NA,NA,NA,75,NA,NA,NA,0,83.1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,8.8,0,13.9,NA,NA,NA,0,NA,NA,NA,NA,NA,6.2
B1A02,B1,A02,1,2002,Sept,5,1360,1099,NA,NA,8,2,4,0,4,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,97.1,48.6,NA,NA,NA,0.7,NA,NA,NA,NA,24.5,NA,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1A03,B1,A03,1,2002,Sept,5,1360,1101,NA,NA,8,3,3,3,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-9999,-9999,136.3,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,40.2,NA,NA,8.7,NA,NA,1.3,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1A04,B1,A04,1,2002,Sept,5,1360,1143,NA,NA,4,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-9999,-9999,252.8,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.5,NA,NA,NA,NA,NA,NA,NA
B1A05,B1,A05,1,2002,Sept,5,1360,1148,NA,NA,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-9999,-9999,326.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,NA,296.3,NA,NA,NA,NA,NA,NA,NA
B1A06,B1,A06,1,2002,Sept,5,1360,1190,NA,NA,16,2,8,0,8,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,311.9,23.2,0.5,NA,0.3,NA,6.6,NA,NA,NA,NA,31.9,NA,NA,0,0.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.8,0,0,NA,NA,38.1,NA,NA,NA,NA,0,0,NA,30.3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1A07,B1,A07,1,2002,Sept,5,1360,1192,NA,NA,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1A08,B1,A08,1,2002,Sept,5,1360,1234,NA,NA,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-9999,-9999,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,NA,NA,NA,NA,NA,NA,NA,NA
