"plot","year","sowndiv","block","Abundance_AbovegroundFauna_PitfallTraps","SR_AbovegroundFauna_SuctionSample","BM_Earthworm_total","FrequencyPollinator_Total","NrPollinator_Total","Resiliance_Target_Drought","Resistance_Target_Drought","SR_AbovegroundFauna_PitfallTraps","Abundance_AbovegroundFauna_SuctionSample","ALL_C_Soil_Inorg","ALL_C_Soil_Org","ALL_N_Soil","BM_Microbe_Soil","BM_Root_Total","BulkDensity_Soil","N15_Soil","NH4_Soil_15","Nr_Larvae","SpecificRespiratoryQuotient_Soil","P_Soil","target_biomass_average","ConsumedBM_Target_DryWeight_average","Cover_BareGround_average","DF30_average","DF70_average","ETa30_average","ETa70_average","Herbivory_Target_average","inv_cover_average","inv_species_average","LAI_Total_average","Leaching_average","Nitrate_average","UF30_average","UF70_average","Water30_average","Water70_average","BasalRespiration_Soil_average","dead.biomass","rain.throughfall","mesofauna.abundance","macrofauna.abundance"
"B1A01",2002,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97,9.22,1.06,NA,NA,NA,6.113333333,NA,NA,NA,NA,205.7,NA,2,10.626207,11.444098,2.535331,0.4978368,NA,NA,NA,NA,NA,NA,1.47769231,3.366497,61.194425,135.6154,NA,NA,NA,NA,NA
"B1A01",2003,16,1,8.69047619,16.04,10.44,NA,NA,NA,NA,32.62125929,5.602443408,NA,NA,NA,640.69,482.99,NA,NA,0.03,NA,NA,0.017021807,283.7025,NA,3.5,2.42293755,1.85280315,7.228418,0.90618475,0.3005431145,0.5,6.5,2.39,5.427380112,2.24,0.444325925,0.6435615,63.1772933333333,123.19785,3.54,117.94,NA,NA,NA
"B1A01",2004,16,1,NA,NA,26.61666667,NA,NA,NA,NA,NA,NA,4.18,8.96,1.03,533.87,229.15,1.343333333,5.725,21.69,2,NA,0.01740037,275.7,NA,2.75,3.69733795,3.5363178,7.1060595,0.80248795,2.0666666665,6.5,2.5,2.1,22.0731075615,5.97,0.25047009,0.92434535,65.105,126.1596,4.17,93.74,NA,27995,1131.33
"B1A01",2005,16,1,4.341269841,19.36,9.82,26,2,NA,NA,41.61592491,6.156187667,NA,NA,NA,NA,NA,NA,NA,12.96,NA,NA,0.009198684,276.8525,NA,1,1.23113725,1.0071848,6.747132,0.6386493,9.71913589,10.5,4,2.895,4.7398784125,3.85,0.67057692,1.04104295,80.89288,120.4,NA,7.655,NA,NA,NA
"B1A01",2006,16,1,NA,NA,53.525,13,4,NA,NA,NA,NA,4.25,10.13,1.09,596.61,626.37,1.358333333,5.591666667,25.16,1,NA,0.005701625,351.22875,NA,0.5,2.1490909,1.38729725,7.887448,1.0027727,NA,10.25,5.5,4.275,40.4185250526248,18.80726639,0.15769231,0.37944055,99.34654,123.37305,2.12,8.535,NA,22396,236.79
"B1A01",2007,16,1,NA,NA,9.39,6,NA,NA,NA,NA,NA,NA,NA,NA,648.14,NA,NA,NA,3.11,NA,NA,0.004228667,399.775,NA,3,6.55770165,5.77103925,8.255669,0.98838525,NA,21.75,4,4.68,13.4432883825,2.05,0.11561086,0.35681335,107.986515,126.6594,1.56,10.925,NA,NA,NA
"B1A01",2008,16,1,NA,NA,27.835,NA,1,NA,24.8,NA,NA,NA,NA,NA,592.43,657,1.296596911,NA,7.31,4,2.386740626,NA,227.67,NA,7,NA,NA,NA,NA,NA,NA,NA,3.955,NA,4.55,NA,NA,NA,NA,1.415,10.235,501.78205,9162,605.13
"B1A01",2009,16,1,NA,NA,NA,NA,NA,-13.7,-24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,273.75,NA,3.5,NA,NA,NA,NA,NA,NA,NA,3.805,NA,1.83,NA,NA,NA,NA,NA,NA,532.598,NA,NA
"B1A01",2010,16,1,4.264285714,9.888888889,NA,NA,NA,7.17,59.03,36.23519722,4.746740611,NA,NA,NA,1072.486922,NA,NA,NA,1.43,NA,4.18699609,NA,187.0425,4.534128818,7,NA,NA,NA,NA,3.106748344,NA,NA,2.19,NA,3.2,NA,NA,NA,NA,4.490498547,NA,437.367333333333,NA,NA
"B1A01",2011,16,1,NA,NA,NA,NA,NA,166.1,193.2,NA,NA,NA,NA,NA,875.8293127,418.6274857,NA,NA,0.96,NA,4.077761972,NA,296.3625,5.349511415,0,NA,NA,NA,NA,3.276877235,NA,NA,4.14,NA,0.38,NA,NA,NA,NA,3.571423466,NA,372.724,NA,NA
"B1A01",2012,16,1,NA,NA,NA,NA,NA,15.8,13.7,NA,NA,NA,NA,NA,1129.001092,NA,NA,NA,0.262,NA,3.355476069,0.001,283.26,4.002440497,NA,NA,NA,NA,NA,1.8443019235,NA,NA,3.215,NA,0.853,NA,NA,NA,NA,3.788336147,NA,417.816666666667,NA,NA
"B1A02",2002,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99,9.64,1.1,NA,NA,NA,5.53,NA,NA,NA,NA,97.1,NA,1,10.5594004,11.4426529,2.473677,0.6447237,NA,NA,NA,NA,NA,NA,1.34884615,3.5306685,55.9,132.1923,NA,NA,NA,NA,NA
"B1A02",2003,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.89,1614.26,NA,NA,0,NA,NA,0.018362318,200.885,NA,12.5,2.61464515,1.8549252,7.00737,1.1173456,0.186869115,0.5,5.5,1.34,2.928402568,1.12,0.40934074,0.61252195,56.69503,118.0481,1.95,36,NA,NA,NA
"B1A02",2004,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84,9.44,1.06,440.48,1318.66,1.378333333,6.105,0,1,NA,0.01534427,432.2,NA,17,3.76713875,3.51904885,7.01638,0.98350295,0.25,1.75,5.5,1.48,0,0,0.225555555,0.99472935,58.9971766666667,121.4365,3.54,26.99,NA,12725,236.79
"B1A02",2005,8,1,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,0.006642105,192.5125,NA,12.5,1.29315175,0.97863665,6.6326175,0.7797168,1.92327365,1.75,5,1.595,2.5216459125,1.95,0.62192308,1.0371248,72.08827,114.86345,NA,20.115,NA,NA,NA
